review,label,domain,sentiment,rating,review_length,clean_review
teacher are punctual but they should also give us the some practical knowledge other than theortical,0.0,teaching,Neutral,5,100,teacher punctual also give practical knowledge theortical
Good ,1.0,teaching,Positive,8,5,good
Excellent lectures are delivered by teachers and all teachers are very punctual.,1.0,teaching,Positive,8,80,excellent lecture delivered teacher teacher punctual
Good,1.0,teaching,Positive,8,4,good
teachers give us all the information required to improve the performance.,1.0,teaching,Positive,8,73,teacher give information required improve performance
Yes,1.0,teaching,Positive,8,3,yes
good and punctual,1.0,teaching,Positive,8,17,good punctual
It is good,1.0,teaching,Positive,8,10,good
It's good when compare with my Btech lectures and teaching activities.,1.0,teaching,Positive,8,70,good compare btech lecture teaching activity
way of teaching is good,1.0,teaching,Positive,8,23,way teaching good
"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine. ",0.0,teaching,Neutral,5,258,university teaching much dependent upon slide though easy way teaching still leaving concept unclear otherwise interaction faculty good lecture delivery sometimes upto mark punctuality fine
As compared to other colleges and university our university is perfect in all the aspects,1.0,teaching,Positive,8,89,compared college university university perfect aspect
Lectures helps in clear our concept,1.0,teaching,Positive,8,35,lecture help clear concept
"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student.",0.0,teaching,Neutral,5,401,talk punctuality really good lecture delivery somehow appreciated every teacher different style teaching lack knowledge term subject interaction also kind boring teacher entertaining well really want studio disciplined really thinking every student
"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input. ",1.0,teaching,Positive,8,200,university good delivering proper lecture also interaction student descent sometimes teacher lack term punctuality overall university giving good input
lecturer are punctual and can interact them easily.,1.0,teaching,Positive,8,51,lecturer punctual interact easily
Punctuality is good. Most of the teachers are not interacting with students .,0.0,teaching,Neutral,5,77,punctuality good teacher interacting student
nice,1.0,teaching,Positive,8,4,nice
lecture delivery is not so good,-1.0,teaching,Negative,2,31,lecture delivery good
It's good,1.0,teaching,Positive,8,9,good
"Discipline, punctuality , lecture delivery all are good but hv to do some work for quality of lecture",1.0,teaching,Positive,8,101,discipline punctuality lecture delivery good work quality lecture
"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems",0.0,teaching,Neutral,5,202,interaction good accurate supplement material provided recommendation book poor change particular teacher month semester subject cause problem
Perfect,1.0,teaching,Positive,8,7,perfect
It is really gud,1.0,teaching,Positive,8,16,really gud
Very good teaching and management but too much load on student and working hours,0.0,teaching,Neutral,5,80,good teaching management much load student working hour
in terms of lecture delivery that is good.in terms of punctuality that is also good but in terms of intraction that is very bad. There are some teachers they donot interact and do not litsn our problms that means they do not coprate.,-1.0,teaching,Negative,2,233,term lecture delivery good term punctuality also good term intraction bad teacher donot interact litsn problms mean coprate
According to me everything is going well in accordance to interaction.More than enough is served. ,1.0,teaching,Positive,8,98,according everything going well accordance interaction enough served
not effective and satisfactory in terms of lecture delivery by all the faculty .,-1.0,teaching,Negative,2,80,effective satisfactory term lecture delivery faculty
Accurate,1.0,teaching,Positive,8,8,accurate
it is good depending on the faculty,1.0,teaching,Positive,8,35,good depending faculty
"maintained punctuality, good lecture delivery",1.0,teaching,Positive,8,45,maintained punctuality good lecture delivery
average,0.0,teaching,Neutral,5,7,average
good,1.0,teaching,Positive,8,4,good
"it is quite good , depending on teacher and their experience",1.0,teaching,Positive,8,60,quite good depending teacher experience
"it is quite good , depends upon teacher and their experience",1.0,teaching,Positive,8,60,quite good depends upon teacher experience
the way of teaching is good but the time more than enough,1.0,teaching,Positive,8,57,way teaching good time enough
good teaching delivery,1.0,teaching,Positive,8,22,good teaching delivery
"good, teacher is delivery the lecture in the best way they can",1.0,teaching,Positive,8,62,good teacher delivery lecture best way
good and qualified teachers but few lacks in interaction with students and fails to describe a topic,0.0,teaching,Neutral,5,100,good qualified teacher lack interaction student fails describe topic
"very good teaching facilities, lecture given are fruitful and teachers are punctual",1.0,teaching,Positive,8,83,good teaching facility lecture given fruitful teacher punctual
